scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,lo,hi,hit_mass,flux_c2o,flux_o2c,occupancy_mass,L0R0,L0R1,L1R0,L1R1,rollback_share
delta,delta_core_p1p00_open_p0p00,2,-0.08,1.0,0.0,0.002,0.002,valley,1096,1148,0.003087961335198966,0.0003253133415357212,0.00041100100134595647,3.464693375896309,0.011589110178332482,0.7605062707626402,0.028969263932651482,0.19893535512637567,0.9594416258890159
delta,delta_core_p1p00_open_p0p00,2,-0.08,1.0,0.0,0.002,0.002,peak2,1855,1907,0.005721873685624291,0.000444601822055941,0.0002948407586495095,10.762844465093742,0.0005445402426537091,0.8802313431236555,0.001658383220896835,0.1175657334127939,0.9977970765364493
delta,delta_core_p1p00_open_p0p20,2,-0.08,1.0,0.2,0.002,0.002,peak1,376,428,0.04465757024263567,9.469641406277937e-05,0.00012724657117082653,17.952998050498877,0.26727470567713596,0.7281786279864997,0.0012124865460198663,0.0033341797903446158,0.7315128077768442
delta,delta_core_p1p00_open_p0p20,2,-0.08,1.0,0.2,0.002,0.002,valley,1081,1133,0.004453171255327112,0.0006224749592619806,0.0005082824073183376,4.929656483354088,0.007955153363338074,0.7486669136430456,0.02328812389943961,0.2200898090941768,0.9687567227372225
delta,delta_core_p1p00_open_p0p20,2,-0.08,1.0,0.2,0.002,0.002,peak2,1763,1815,0.008898782477074032,0.0007573748600858775,0.00039318224205674233,15.919919918696936,0.0006756216904301614,0.8800009213776216,0.0015732699654061933,0.11775018696654195,0.9977511083441636
delta,delta_core_p1p00_open_p0p40,2,-0.08,1.0,0.4,0.002,0.002,peak1,372,424,0.05674314235527461,0.00012673842642280025,0.00014940694193397427,22.58410532222382,0.25746405665043265,0.7380880465334749,0.0010862470551293308,0.003361649760963124,0.741449696294438
delta,delta_core_p1p00_open_p0p40,2,-0.08,1.0,0.4,0.002,0.002,valley,1067,1119,0.005161496210874411,0.0009397530961559483,0.0005659443398033443,5.6415121567614515,0.006805171061601313,0.7132666233349213,0.021548090017052605,0.25838011558642476,0.9716467389213461
delta,delta_core_p1p00_open_p0p40,2,-0.08,1.0,0.4,0.002,0.002,peak2,1697,1749,0.011369297804747146,0.0010190189656586913,0.00044741011780669363,19.58930597884673,0.0008282031566369378,0.8804171254292079,0.0015724260249414571,0.1171822453892138,0.9975993708184218
delta,delta_core_p1p00_open_p0p55,2,-0.08,1.0,0.55,0.002,0.002,peak1,369,421,0.06484879703104941,0.0001506867485786933,0.0001607483142126202,25.615594043955465,0.251658969708498,0.743953327578332,0.0010059820517172406,0.0033817206614528616,0.7473350482397848
delta,delta_core_p1p00_open_p0p55,2,-0.08,1.0,0.55,0.002,0.002,valley,1054,1106,0.005326542445014799,0.0011516680952382006,0.0005887515103574877,5.752652648556881,0.006820879260550659,0.6795718721708734,0.021479344978348223,0.2921279035902276,0.971699775761101
delta,delta_core_p1p00_open_p0p55,2,-0.08,1.0,0.55,0.002,0.002,peak2,1660,1712,0.012702182141560533,0.0011640974939843758,0.0004660340181603211,21.415876215656667,0.0009508579859928979,0.8811529949058483,0.0015914397585609047,0.11630470734959786,0.9974577022554462
delta,delta_core_p1p00_open_p0p80,2,-0.08,1.0,0.8,0.002,0.002,peak1,364,416,0.07630439341432657,0.0001874698797849732,0.00017119584745485595,29.75969851920467,0.24479332677588364,0.750913555401321,0.0008959144422831779,0.003397203380512289,0.7543107587818333
delta,delta_core_p1p00_open_p0p80,2,-0.08,1.0,0.8,0.002,0.002,valley,1033,1085,0.0052599282718899226,0.001433745490766433,0.0006026498137818408,5.570254633630934,0.007535059525674809,0.6209577303740088,0.022221867162052433,0.3492853429382641,0.9702430733122729
delta,delta_core_p1p00_open_p0p80,2,-0.08,1.0,0.8,0.002,0.002,peak2,1612,1664,0.014131805814664075,0.001328485936824771,0.0004731713168191195,23.147900871907385,0.001173901341411725,0.882063496563347,0.0016566489527803801,0.11510595314246087,0.9971694497058079
