case,display_name,style,base_start_x,base_start_y,target_x,target_y,x_gate,start_x,start_y,phase,t_peak1,t_valley,t_peak2,valley_over_max,sep_peaks
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,8,3,1,624,1448,1936,0.27138905587004947,0.7522935779816514
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,9,3,1,638,1462,1948,0.27435992213838295,0.7520091848450058
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,10,3,1,652,1477,1961,0.27728080990028026,0.7522988505747127
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,11,3,1,666,1491,1973,0.2801989123507995,0.7517975266033937
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,12,3,1,679,1505,1985,0.28313156608481505,0.7520875323927441
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,13,3,1,692,1519,1997,0.286083010100678,0.7521613832853026
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,14,3,1,706,1532,2009,0.2890489821981232,0.7518753606462781
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,15,3,1,719,1546,2020,0.2920258694005171,0.7511547344110855
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,16,3,1,732,1560,2032,0.2950083071410119,0.7512279687951459
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,17,3,1,745,1574,2043,0.29799116010342536,0.7509401214926237
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,18,3,1,758,1588,2055,0.3009698937617272,0.7510133178922987
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,19,3,1,772,1602,2066,0.30394039987666277,0.7503624238909828
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,20,3,1,785,1616,2078,0.30689917865162286,0.7504352872896112
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,21,3,1,798,1630,2089,0.30984386363306465,0.7501452643811737
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,22,3,1,811,1644,2101,0.3127720643855007,0.7502180866530969
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,23,3,1,824,1659,2112,0.31568171321456495,0.7499272197962155
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,24,3,1,837,1673,2124,0.3185705954867979,0.7502185951617604
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,25,3,1,850,1687,2135,0.3214375108518914,0.7499270498978698
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,26,3,1,863,1701,2147,0.32428105795872725,0.7504383401519579
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,27,3,1,877,1716,2158,0.3270990743424048,0.7495611468695144
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,28,3,1,890,1730,2170,0.3298909714427235,0.7496339677891655
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,29,3,1,903,1745,2181,0.3326552859838947,0.7495601173020527
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,30,3,1,916,1759,2193,0.33539131002082,0.7500734214390602
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,31,3,1,929,1774,2204,0.33809739020381624,0.7497794766245222
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,32,3,1,942,1789,2216,0.34077288021502433,0.7498528546203649
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,33,3,1,955,1803,2227,0.3434160979168466,0.7497789566755084
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,34,3,1,968,1818,2239,0.3460259801866926,0.7502951593860685
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,35,3,1,981,1833,2250,0.34860117499332294,0.75
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,36,3,1,995,1847,2262,0.35113939673838696,0.7499260136134951
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,37,3,1,1008,1862,2273,0.3536390111379021,0.7498518079430943
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,38,3,1,1021,1877,2285,0.35609802798010914,0.7501483679525223
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,39,3,1,1034,1891,2296,0.3585134857449572,0.7498514557338086
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,40,3,1,1047,1906,2308,0.36088216344134694,0.7505952380952381
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,41,3,1,1060,1921,2319,0.3632003719319509,0.750521609538003
