dst,valid,reason_invalid,mass,remaining,steps,fig3_bimodal,fig3_t1,fig3_h1,fig3_t2,fig3_h2,robust_bimodal,robust_t1,robust_h1,robust_t2,robust_h2,robust_sep,robust_ratio,robust_valley,robust_valley_ratio
32,True,,0.9933839424451648,0.0066160575548344855,8000,True,53,1.2012792883195126e-05,55,1.5845104330077138e-05,True,321,0.0010542482517415406,371,0.0010442156910081312,50,0.9904836828357682,6.949811586288055e-05,0.06655532612786545
33,True,,0.9941847914157667,0.005815208584233075,8000,True,50,1.3716646544904212e-05,52,1.834430072567847e-05,True,284,0.0011677555708593584,334,0.0011461602297975298,50,0.9815069680670104,1.6666398098383712e-05,0.01454107171501479
34,True,,0.994912739904189,0.005087260095810709,8000,True,47,1.5535685251442693e-05,49,2.1117516126091655e-05,True,267,0.0011946520987771824,317,0.00117621407151545,50,0.9845661952290503,6.209036509028611e-05,0.052788320250486416
35,True,,0.9955772470051314,0.004422752994868554,8000,True,44,1.741729240838945e-05,46,2.4138927533642165e-05,True,248,0.0013295656785395431,298,0.0012993408607712299,50,0.9772671495239607,8.077161455288359e-06,0.0062163529980070985
36,True,,0.9961752007751867,0.0038247992248124606,8000,True,41,1.927267485263313e-05,43,2.734542109927889e-05,True,225,0.0013779472410181566,275,0.0013447994892214475,50,0.9759441067045379,5.018953662646255e-05,0.03732120440908188
37,True,,0.9967151163871182,0.003284883612881184,8000,True,38,2.0963635426647744e-05,40,3.061965849102135e-05,True,214,0.0015301581292644236,264,0.0014842081994612013,50,0.9699704697675192,3.1596586914432076e-06,0.0021288513920016275
38,True,,0.9971955585427257,0.0028044414572742106,8000,True,35,2.2286487675974994e-05,37,3.376447462508444e-05,True,189,0.0016148542665139279,239,0.0015593306101489386,50,0.9656169243774231,3.546322558090265e-05,0.02274259566899376
39,True,,0.9976241485970601,0.002375851402940048,8000,True,32,2.295713659646743e-05,34,3.6470328424011777e-05,True,178,0.0017867570913292303,228,0.0017206297363481305,50,0.9629902938110599,7.469416645599482e-07,0.0004341094709575689
40,True,,0.9980008009955128,0.0019991990044870072,8000,True,29,2.2606180651197702e-05,31,3.827760821343776e-05,True,159,0.001922656036781986,209,0.0018263422518742533,50,0.9499058682025433,2.1516308716840525e-05,0.011781093436763986
41,True,,0.998332287014475,0.0016677129855250722,8000,True,28,3.854427563310159e-05,30,6.337848904610333e-05,True,146,0.002126238867517179,196,0.0020181284881298257,50,0.9491541702868058,1.0381702142089437e-07,5.1442225820368996e-05
42,True,,0.9986195444536623,0.0013804555463378955,8000,True,25,3.645007992968147e-05,27,6.527947300255543e-05,True,129,0.002329577923111893,179,0.002177653573657015,50,0.9347846028468819,9.135132559801579e-06,0.004194942974543287
43,True,,0.9988685299634138,0.0011314700365858649,8000,True,22,3.1118039731626154e-05,24,6.346496534936222e-05,True,118,0.0025890517063763873,168,0.002397444874246881,50,0.9259934316268725,6.530169465580085e-09,2.7238038028429885e-06
44,True,,0.999080889258931,0.0009191107410690539,8000,True,21,5.60901783130787e-05,23,0.00010975496268566742,True,105,0.002882024049262573,155,0.002609557403441841,50,0.9054599680073979,2.8002716427331938e-06,0.0010730829829762752
45,True,,0.9992617926808268,0.0007382073191731539,8000,True,18,4.1537814670138884e-05,20,0.00010052433720341434,True,94,0.0032363251299338896,144,0.0028806858315700823,50,0.8901101452773158,1.177293140045914e-10,4.0868501769394433e-08
46,True,,0.9994133011546136,0.0005866988453858023,8000,True,17,7.798936631944444e-05,19,0.00017900820131655092,True,81,0.0036583166757622656,131,0.0031891501155443492,50,0.8717534314822107,3.300944755840069e-07,0.00010350546811047927
47,True,,0.999539823536039,0.0004601764639609184,8000,True,16,0.00014580620659722222,18,0.00031647858796296296,True,72,0.004171276112238866,122,0.0035151077847490274,50,0.8426936242449675,9.316651596661338e-14,2.6504597204909126e-11
48,True,,0.9996435779576351,0.00035642204236455957,8000,True,13,8.138020833333333e-05,15,0.0002712673611111111,True,61,0.00479999512778398,111,0.003917712643620924,50,0.8161909625582515,9.056777167278821e-09,2.3117512669097e-06
49,True,,0.9997282384536417,0.00027176154635785303,8000,True,12,0.00016276041666666666,14,0.0005018446180555556,True,52,0.005584726606641404,102,0.0043526253284856455,50,0.7793801980045839,0.0,0.0
50,True,,0.9997959678471412,0.00020403215285899257,8000,True,11,0.0003255208333333333,13,0.0009223090277777779,True,45,0.0065835709660885516,95,0.004778671160859333,50,0.7258479000946274,8.672831999892541e-12,1.8149045431142272e-09
51,True,,0.9998497397788455,0.00015026022115440565,8000,True,10,0.0006510416666666666,12,0.001681857638888889,True,38,0.00787591422670052,88,0.005252064469366126,50,0.6668514052071373,0.0,0.0
