t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
761,104,0.10849453322119428,0.3116063919259882,0.6194280908326325,0.06896551724137931,0.27207737594617326,0.03952901597981497
762,117,0.10800508259212198,0.30664972469292673,0.6221939855993224,0.07115628970775095,0.2698009318085557,0.036848792884371026
763,119,0.1070528967254408,0.3064651553316541,0.6234256926952141,0.07010915197313182,0.2695214105793451,0.036943744752308987
764,92,0.10981697171381032,0.3040765391014975,0.6243760399334443,0.07154742096505824,0.2658069883527454,0.03826955074875208
765,120,0.10911371237458194,0.29974916387959866,0.6287625418060201,0.07148829431438126,0.262123745819398,0.03762541806020067
766,127,0.10864093959731544,0.29278523489932884,0.635486577181208,0.07172818791946309,0.2558724832214765,0.03691275167785235
767,114,0.10745522698875469,0.2948771345272803,0.6339025406080799,0.07122032486463974,0.25864223240316536,0.036234902124114954
768,111,0.10739657333890514,0.29502716255745925,0.6347680735478479,0.07020476389469285,0.25783535311324696,0.037191809444212284
769,97,0.10868652958455728,0.2912295425933697,0.6382710868652959,0.07049937054133446,0.25304238355014685,0.038187159043222826
770,110,0.11036508602601762,0.2908099034830046,0.6370121695342006,0.0721779269827948,0.2526227444397818,0.038187159043222826
771,119,0.10788912579957356,0.28827292110874203,0.6422174840085287,0.06950959488272922,0.24989339019189766,0.03837953091684435
772,112,0.10517387616624257,0.28922815945716707,0.6458863443596268,0.0648854961832061,0.24893977947413062,0.04028837998303647
773,116,0.10429970200085142,0.2941677309493401,0.6402724563644104,0.06555981268624947,0.2554278416347382,0.038739889314601955
774,123,0.10340425531914893,0.29148936170212764,0.6438297872340426,0.06468085106382979,0.2527659574468085,0.03872340425531915
775,101,0.10661609776654024,0.2895069532237674,0.6434892541087232,0.06700379266750948,0.2498946481247366,0.03961230509903076
776,123,0.1117177656446871,0.2914741705165897,0.6388072238555229,0.06971860562788744,0.24947501049979,0.041999160016799666
777,129,0.11163187047294418,0.29143587558585426,0.6386876864081806,0.06987643800596506,0.24968044311887516,0.041755432466979124
778,115,0.11323967645806726,0.29161345253299276,0.6372924648786717,0.07109408258833547,0.24946785866326096,0.0421455938697318
779,94,0.1133276740237691,0.2860780984719864,0.6404923599320883,0.0734295415959253,0.2461799660441426,0.039898132427843805
780,113,0.11478187208809826,0.28504870817450234,0.640830156713257,0.07412113511224058,0.24438797119864464,0.04066073697585769
781,89,0.11512605042016806,0.28697478991596637,0.6399159663865546,0.073109243697479,0.2449579831932773,0.04201680672268908
782,117,0.11435832274459974,0.28504870817450234,0.6404066073697586,0.0745446844557391,0.24523506988564167,0.03981363828886065
783,108,0.11533532678342588,0.28449380606578384,0.6411789833404528,0.07432721059376335,0.24348568987612132,0.04100811618966254
784,120,0.1172945205479452,0.2825342465753425,0.6408390410958904,0.07662671232876712,0.2418664383561644,0.040667808219178085
785,115,0.11535125758889853,0.28143972246313964,0.6431049436253252,0.07545533391153512,0.24154379878577623,0.0398959236773634
786,128,0.11418685121107267,0.2858996539792388,0.6397058823529411,0.07439446366782007,0.24610726643598616,0.039792387543252594
787,93,0.11759619541720709,0.2857760484219628,0.6368352788586251,0.07738867271941202,0.24556852572416774,0.040207522697795074
788,116,0.11994784876140809,0.2781399391568883,0.6418948283355063,0.07996523250760539,0.2381573229030856,0.03998261625380269
789,118,0.11977351916376307,0.2739547038327526,0.6463414634146342,0.07970383275261324,0.23388501742160278,0.04006968641114982
790,102,0.11729193617938767,0.2729624838292367,0.6489866321690384,0.07805088400172489,0.23372143165157394,0.039241052177662786
791,129,0.11553440069234097,0.26958026828212894,0.6546949372565989,0.07572479446127217,0.22977066205106014,0.0398096062310688
792,100,0.11782477341389729,0.2714717306862322,0.6512731981009927,0.07725507121277514,0.23090202848511004,0.04056970220112214
793,92,0.11965065502183406,0.2720524017467249,0.6475982532751092,0.08034934497816594,0.23275109170305677,0.039301310043668124
794,111,0.11977351916376307,0.2695993031358885,0.6506968641114983,0.07970383275261324,0.22952961672473868,0.04006968641114982
795,93,0.11780104712041885,0.2643979057591623,0.6566317626527051,0.07897033158813263,0.2255671902268761,0.03883071553228621
796,107,0.12105263157894737,0.2662280701754386,0.6539473684210526,0.07982456140350877,0.225,0.0412280701754386
797,124,0.1204766107678729,0.26654898499558694,0.6526919682259488,0.08075904677846425,0.22683142100617829,0.03971756398940865
798,117,0.11947483588621444,0.26695842450765866,0.6542669584245077,0.0787746170678337,0.2262582056892779,0.04070021881838074
799,110,0.11956043956043956,0.26857142857142857,0.6531868131868132,0.07824175824175825,0.22725274725274724,0.04131868131868132
800,117,0.11941618752764263,0.2697921273772667,0.6541353383458647,0.07607253427686864,0.22644847412649272,0.043343653250773995
801,105,0.11798753339269813,0.26936776491540515,0.6549421193232413,0.07569011576135352,0.22707034728406056,0.04229741763134461
802,95,0.12037871956717763,0.2696122633002705,0.6537421100090172,0.07664562669071236,0.22587917042380523,0.043733092876465283
803,90,0.11785874943769681,0.26450742240215924,0.6603688708951867,0.07512370670265407,0.22177237966711652,0.042735042735042736
804,114,0.11553963278101209,0.264666368114644,0.6618898343036274,0.07344379758172861,0.2225705329153605,0.04209583519928348
805,116,0.11640449438202247,0.2660674157303371,0.6615730337078651,0.07235955056179776,0.22202247191011237,0.04404494382022472
