kappa,t,smoothed_f,phase,t_peak1,t_valley,t_peak2
0.014,1491,6.96714079052538e-05,1,535,1586,2028
0.014,1492,6.96661609952349e-05,1,535,1586,2028
0.014,1493,6.96609864050166e-05,1,535,1586,2028
0.014,1494,6.965588373796716e-05,1,535,1586,2028
0.014,1495,6.96508525987282e-05,1,535,1586,2028
0.014,1496,6.964589259320806e-05,1,535,1586,2028
0.014,1497,6.964100332857545e-05,1,535,1586,2028
0.014,1498,6.963618441325303e-05,1,535,1586,2028
0.014,1499,6.96314354569111e-05,1,535,1586,2028
0.014,1500,6.962675607046138e-05,1,535,1586,2028
0.014,1501,6.962214586605085e-05,1,535,1586,2028
0.014,1502,6.96176044570556e-05,1,535,1586,2028
0.014,1503,6.961313145807484e-05,1,535,1586,2028
0.014,1504,6.960872648492495e-05,1,535,1586,2028
0.014,1505,6.960438915463353e-05,1,535,1586,2028
0.014,1506,6.960011908543364e-05,1,535,1586,2028
0.014,1507,6.959591589675793e-05,1,535,1586,2028
0.014,1508,6.959177920923306e-05,1,535,1586,2028
0.014,1509,6.9587708644674e-05,1,535,1586,2028
0.014,1510,6.958370382607843e-05,1,535,1586,2028
0.014,1511,6.957976437762133e-05,1,535,1586,2028
0.014,1512,6.957588992464946e-05,1,535,1586,2028
0.014,1513,6.957208009367597e-05,1,535,1586,2028
0.014,1514,6.956833451237518e-05,1,535,1586,2028
0.014,1515,6.956465280957724e-05,1,535,1586,2028
0.014,1516,6.956103461526295e-05,1,535,1586,2028
0.014,1517,6.955747956055865e-05,1,535,1586,2028
0.014,1518,6.955398727773113e-05,1,535,1586,2028
0.014,1519,6.955055740018269e-05,1,535,1586,2028
0.014,1520,6.954718956244607e-05,1,535,1586,2028
0.014,1521,6.954388340017965e-05,1,535,1586,2028
0.014,1522,6.954063855016259e-05,1,535,1586,2028
0.014,1523,6.953745465029007e-05,1,535,1586,2028
0.014,1524,6.953433133956855e-05,1,535,1586,2028
0.014,1525,6.953126825811117e-05,1,535,1586,2028
0.014,1526,6.952826504713302e-05,1,535,1586,2028
0.014,1527,6.952532134894678e-05,1,535,1586,2028
0.014,1528,6.95224368069581e-05,1,535,1586,2028
0.014,1529,6.951961106566119e-05,1,535,1586,2028
0.014,1530,6.951684377063446e-05,1,535,1586,2028
0.014,1531,6.951413456853623e-05,1,535,1586,2028
0.014,1532,6.95114831071004e-05,1,535,1586,2028
0.014,1533,6.950888903513225e-05,1,535,1586,2028
0.014,1534,6.950635200250436e-05,1,535,1586,2028
0.014,1535,6.950387166015232e-05,1,535,1586,2028
0.014,1536,6.950144766007088e-05,1,535,1586,2028
0.014,1537,6.949907965530985e-05,1,535,1586,2028
0.014,1538,6.94967672999701e-05,1,535,1586,2028
0.014,1539,6.949451024919975e-05,1,535,1586,2028
0.014,1540,6.949230815919027e-05,1,535,1586,2028
0.014,1541,6.949016068717267e-05,1,535,1586,2028
0.014,1542,6.948806749141381e-05,1,535,1586,2028
0.014,1543,6.948602823121258e-05,1,535,1586,2028
0.014,1544,6.948404256689638e-05,1,535,1586,2028
0.014,1545,6.948211015981742e-05,1,535,1586,2028
0.014,1546,6.94802306723492e-05,1,535,1586,2028
0.014,1547,6.947840376788301e-05,1,535,1586,2028
0.014,1548,6.947662911082441e-05,1,535,1586,2028
0.014,1549,6.94749063665899e-05,1,535,1586,2028
0.014,1550,6.947323520160345e-05,1,535,1586,2028
0.014,1551,6.947161528329324e-05,1,535,1586,2028
0.014,1552,6.947004628008837e-05,1,535,1586,2028
0.014,1553,6.946852786141561e-05,1,535,1586,2028
0.014,1554,6.946705969769619e-05,1,535,1586,2028
0.014,1555,6.946564146034267e-05,1,535,1586,2028
0.014,1556,6.946427282175585e-05,1,535,1586,2028
0.014,1557,6.946295345532169e-05,1,535,1586,2028
0.014,1558,6.946168303540828e-05,1,535,1586,2028
0.014,1559,6.946046123736287e-05,1,535,1586,2028
0.014,1560,6.945928773750894e-05,1,535,1586,2028
0.014,1561,6.945816221314327e-05,1,535,1586,2028
0.014,1562,6.945708434253313e-05,1,535,1586,2028
0.014,1563,6.945605380491344e-05,1,535,1586,2028
0.014,1564,6.945507028048398e-05,1,535,1586,2028
0.014,1565,6.945413345040668e-05,1,535,1586,2028
0.014,1566,6.94532429968029e-05,1,535,1586,2028
0.014,1567,6.945239860275077e-05,1,535,1586,2028
0.014,1568,6.945159995228262e-05,1,535,1586,2028
0.014,1569,6.94508467303823e-05,1,535,1586,2028
0.014,1570,6.945013862298269e-05,1,535,1586,2028
0.014,1571,6.944947531696322e-05,1,535,1586,2028
0.014,1572,6.944885650014733e-05,1,535,1586,2028
0.014,1573,6.944828186130005e-05,1,535,1586,2028
0.014,1574,6.944775109012562e-05,1,535,1586,2028
0.014,1575,6.94472638772651e-05,1,535,1586,2028
0.014,1576,6.944681991429409e-05,1,535,1586,2028
0.014,1577,6.944641889372031e-05,1,535,1586,2028
0.014,1578,6.944606050898145e-05,1,535,1586,2028
0.014,1579,6.94457444544429e-05,1,535,1586,2028
0.014,1580,6.944547042539553e-05,1,535,1586,2028
0.014,1581,6.944523811805355e-05,1,535,1586,2028
0.014,1582,6.944504722955238e-05,1,535,1586,2028
0.014,1583,6.944489745794647e-05,1,535,1586,2028
0.014,1584,6.944478850220738e-05,1,535,1586,2028
0.014,1585,6.94447200622216e-05,1,535,1586,2028
0.014,1586,6.944469183878858e-05,1,535,1586,2028
0.014,1587,6.944470353361878e-05,1,535,1586,2028
0.014,1588,6.944475484933173e-05,1,535,1586,2028
0.014,1589,6.944484548945402e-05,1,535,1586,2028
0.014,1590,6.94449751584175e-05,1,535,1586,2028
0.014,1591,6.94451435615574e-05,1,535,1586,2028
0.014,1592,6.944535040511044e-05,1,535,1586,2028
0.014,1593,6.94455953962131e-05,1,535,1586,2028
0.014,1594,6.944587824289979e-05,1,535,1586,2028
0.014,1595,6.94461986541011e-05,1,535,1586,2028
0.014,1596,6.944655633964212e-05,1,535,1586,2028
0.014,1597,6.944695101024068e-05,1,535,1586,2028
0.014,1598,6.944738237750569e-05,1,535,1586,2028
0.014,1599,6.944785015393555e-05,1,535,1586,2028
0.014,1600,6.944835405291642e-05,1,535,1586,2028
0.014,1601,6.944889378872077e-05,1,535,1586,2028
0.014,1602,6.944946907650566e-05,1,535,1586,2028
0.014,1603,6.945007963231125e-05,1,535,1586,2028
0.014,1604,6.945072517305932e-05,1,535,1586,2028
0.014,1605,6.945140541655171e-05,1,535,1586,2028
0.014,1606,6.945212008146886e-05,1,535,1586,2028
0.014,1607,6.94528688873683e-05,1,535,1586,2028
0.014,1608,6.945365155468336e-05,1,535,1586,2028
0.014,1609,6.945446780472164e-05,1,535,1586,2028
0.014,1610,6.945531735966358e-05,1,535,1586,2028
0.014,1611,6.945619994256124e-05,1,535,1586,2028
0.014,1612,6.945711527733684e-05,1,535,1586,2028
0.014,1613,6.945806308878147e-05,1,535,1586,2028
0.014,1614,6.945904310255375e-05,1,535,1586,2028
0.014,1615,6.946005504517865e-05,1,535,1586,2028
0.014,1616,6.946109864404605e-05,1,535,1586,2028
0.014,1617,6.946217362740962e-05,1,535,1586,2028
