t,f_total,f_near,f_far,N_direct,N_detour,F_clean,F_linger,F_rollback,F_no_return
1182,8.981905136276411e-05,2.8518089944930546e-14,8.981905133424602e-05,1.6632215125369227e-17,2.8501457729806615e-14,6.174434256964811e-05,1.1956605391804204e-05,1.6118103372798278e-05,7.370094796145231e-05
1183,8.935181319667668e-05,2.795480831537816e-14,8.935181316872187e-05,1.617990456925092e-17,2.793862841081031e-14,6.14231639067098e-05,1.1894480000433262e-05,1.6034169261583335e-05,7.331764390714306e-05
1184,8.888701426217304e-05,2.740269712611132e-14,8.888701423477035e-05,1.5739894529473558e-17,2.738695723158322e-14,6.110366230229902e-05,1.183267838278021e-05,1.5950673549695623e-05,7.293634068507924e-05
1185,8.842464177757319e-05,2.686153412450129e-14,8.842464175071166e-05,1.531185049538925e-17,2.6846222274007247e-14,6.078582895817472e-05,1.1771198846321002e-05,1.5867613946220423e-05,7.255702780449573e-05
1186,8.796468302818218e-05,2.6331101494386895e-14,8.796468300185108e-05,1.489544705331524e-17,2.63162060473349e-14,6.0469655122416405e-05,1.1710039707373421e-05,1.578498817206571e-05,7.217969482978983e-05
1187,8.750712536594541e-05,2.5811185767215235e-14,8.750712534013423e-05,1.449036763914342e-17,2.57966953995774e-14,6.0155132089181955e-05,1.1649199291051787e-05,1.5702793959904955e-05,7.180433138023374e-05
1188,8.705195620910557e-05,2.5301577734968702e-14,8.705195618380399e-05,1.4096304297677487e-17,2.52874814306723e-14,5.98422511984665e-05,1.1588675931221828e-05,1.5621029054120087e-05,7.143092712968833e-05
1189,8.659916304186097e-05,2.4802072364842008e-14,8.659916301705889e-05,1.371295744851498e-17,2.4788359407394744e-14,5.95310038358628e-05,1.1528467970455796e-05,1.5539691210744706e-05,7.10594718063186e-05
1190,8.614873341402573e-05,2.4312468715634144e-14,8.614873338971326e-05,1.3340035658296023e-17,2.429912867997708e-14,5.922138143232242e-05,1.1468573759987769e-05,1.545877819740748e-05,7.068995519231019e-05
1191,8.570065494069153e-05,2.3832569855820557e-14,8.570065491685897e-05,1.2977255419145824e-17,2.3819592600402626e-14,5.891337546391844e-05,1.1408991659669174e-05,1.5378287793275733e-05,7.032236712358762e-05
1192,8.525491530189071e-05,2.3362182783271667e-14,8.525491527852853e-05,1.2624340933142311e-17,2.3349558442339714e-14,5.860697745160913e-05,1.1349720037924506e-05,1.5298217788999256e-05,6.995669748953364e-05
1193,8.481150224226129e-05,2.2901118346584476e-14,8.481150221936017e-05,1.2281023902645206e-17,2.2888837322682994e-14,5.83021789610029e-05,1.1290757271707288e-05,1.5218565986654329e-05,6.95929362327102e-05
1194,8.437040357071342e-05,2.2449191167994874e-14,8.437040354826423e-05,1.1947043326326997e-17,2.243724412466969e-14,5.799897160212445e-05,1.1232101746456185e-05,1.5139330199687934e-05,6.923107334858063e-05
1195,8.39316071600974e-05,2.200621956783858e-14,8.393160713809119e-05,1.1622145300750892e-17,2.1994597422538947e-14,5.7697347029181934e-05,1.1173751856051386e-05,1.5060508252862175e-05,6.887109888523332e-05
1196,8.349510094687331e-05,2.1572025490529606e-14,8.349510092530128e-05,1.1306082827344762e-17,2.1560719407703354e-14,5.739729694033551e-05,1.1115706002771128e-05,1.498209798219892e-05,6.851300294310664e-05
1197,8.306087293078218e-05,2.114643443202561e-14,8.306087290963575e-05,1.0998615624624437e-17,2.1135435816402062e-14,5.7098813077466874e-05,1.1057962597248495e-05,1.490409723492464e-05,6.815677567471537e-05
1198,8.262891117451886e-05,2.072927536875018e-14,8.262891115378958e-05,1.0699509945523545e-17,2.0718575858805705e-14,5.680188722595003e-05,1.1000520058428352e-05,1.4826503869415452e-05,6.780240728437838e-05
1199,8.219920380340622e-05,2.032038068794258e-14,8.219920378308584e-05,1.0408538399691028e-17,2.030997214954393e-14,5.650651121442314e-05,1.0943376813524544e-05,1.4749315755142385e-05,6.744988802794768e-05
1200,8.177173900507115e-05,1.991958611940639e-14,8.177173898515157e-05,1.0125479780621293e-17,1.9909460639626777e-14,5.6212676914561686e-05,1.0886531297977254e-05,1.4672530772616836e-05,6.709920821253894e-05
1201,8.134650502912199e-05,1.9526730668628534e-14,8.134650500959526e-05,9.850118897485462e-18,1.9516880549732043e-14,5.5920376240852574e-05,1.0829981955410597e-05,1.4596146813336265e-05,6.675035819626317e-05
1202,8.092349018682743e-05,1.9141656551241397e-14,8.092349016768578e-05,9.58224641153601e-18,1.9132074304830844e-14,5.5629601150369486e-05,1.077372723759039e-05,1.4520161779730056e-05,6.640332838795987e-05
1203,8.050268285079717e-05,1.8764209128800753e-14,8.050268283203296e-05,9.321658676960302e-18,1.875488747012475e-14,5.534034364254933e-05,1.071776560438215e-05,1.4444573585105627e-05,6.605810924693148e-05
1204,8.008407145466398e-05,1.8394236845852993e-14,8.008407143626974e-05,9.068157586062134e-18,1.8385168688267868e-14,5.5052595758969854e-05,1.066209552370926e-05,1.4369380153594736e-05,6.571469128267912e-05
1205,7.96676444927672e-05,1.803159116826582e-14,7.96676444747356e-05,8.82155041865351e-18,1.8022769617848087e-14,5.476634958312834e-05,1.0606715471511374e-05,1.4294579420099991e-05,6.537306505463971e-05
1206,7.925339051983806e-05,1.767612652279678e-14,7.925339050216193e-05,8.581649695542199e-18,1.766754487310214e-14,5.448159724022144e-05,1.0551623931702988e-05,1.4220169330241576e-05,6.503322117192443e-05
1207,7.88412981506862e-05,1.7327700237874813e-14,7.88412981333585e-05,8.348273036003664e-18,1.7319351964839695e-14,5.419833089692611e-05,1.0496819396132247e-05,1.4146147840304196e-05,6.469515029305836e-05
1208,7.843135605988792e-05,1.6986172485570292e-14,7.843135604290175e-05,8.121243019129042e-18,1.6978051242552026e-14,5.3916542761181665e-05,1.04423003645399e-05,1.407251291718421e-05,6.435884312572157e-05
1209,7.80235529814759e-05,1.6651406224729697e-14,7.802355296482449e-05,7.900387048943706e-18,1.6643505837681603e-14,5.3636225081972984e-05,1.0388065344518504e-05,1.3999262538337008e-05,6.402429042649149e-05
1210,7.761787770863036e-05,1.6323267145251386e-14,7.761787769230708e-05,7.685537223193954e-18,1.6315581608029024e-14,5.3357370149114726e-05,1.0334112851471796e-05,1.3926394691724562e-05,6.369148300058652e-05
1211,7.721431909337178e-05,1.6001623613479537e-14,7.721431907737017e-05,7.476530205701975e-18,1.5994147083274657e-14,5.307997029303665e-05,1.0280441408574277e-05,1.3853907375763226e-05,6.336041170161093e-05
1212,7.681286604625519e-05,1.5686346618693702e-14,7.681286603056884e-05,7.273207102192144e-18,1.567907341159231e-14,5.280401788457014e-05,1.0227049546730964e-05,1.3781798599271706e-05,6.30310674313011e-05
1213,7.641350753606572e-05,1.5377309720671944e-14,7.641350752068841e-05,7.075413339494165e-18,1.5370234307333233e-14,5.252950533473567e-05,1.0173935804537386e-05,1.3710066381419293e-05,6.270344113927306e-05
1214,7.601623258951591e-05,1.5074388998305894e-14,7.601623257444152e-05,6.8829985480313e-18,1.5067505999758637e-14,5.2256425094531484e-05,1.0121098728239722e-05,1.3638708751674248e-05,6.23775238227712e-05
1215,7.562103029094437e-05,1.477746299924661e-14,7.562103027616691e-05,6.6958164475042826e-18,1.477076718279986e-14,5.1984769654723196e-05,1.0068536871695172e-05,1.3567723749752452e-05,6.205330652641837e-05
1216,7.522788978201592e-05,1.4486412690560385e-14,7.52278897675295e-05,6.513724735684057e-18,1.447989896582545e-14,5.171453154563467e-05,1.0016248796332505e-05,1.3497109425566223e-05,6.173078034196717e-05
1217,7.483680026142315e-05,1.420112141037434e-14,7.483680024722203e-05,6.336584980228773e-18,1.419478482539484e-14,5.1445703336939734e-05,9.964233071112789e-06,1.3426863839173383e-05,6.140993640805252e-05
1218,7.444775098458962e-05,1.392147482049163e-14,7.444775097066814e-05,6.164262513442811e-18,1.3915310557978903e-14,5.117827763745513e-05,9.912488272490346e-06,1.3356985060726513e-05,6.109076590994548e-05
1219,7.406073126337428e-05,1.3647360859957027e-14,7.406073124972693e-05,5.9966263298978016e-18,1.3641364233627834e-14,5.091224709493448e-05,9.86101298437386e-06,1.328747117042243e-05,6.0773260079308346e-05
1220,7.367573046577766e-05,1.3378669699553514e-14,7.367573045239898e-05,5.833548986837845e-18,1.3372836150567364e-14,5.0647604395863264e-05,9.809805798087702e-06,1.3218320258451846e-05,6.0457410193950964e-05
1221,7.32927380156491e-05,1.3115293697211301e-14,7.32927380025338e-05,5.674906507293178e-18,1.3109618790704688e-14,5.0384342265254865e-05,9.758865312333435e-06,1.31495304249493e-05,6.01432075775883e-05
1222,7.29117433923958e-05,1.2857127354310842e-14,7.291174337953866e-05,5.520578285828665e-18,1.2851606776025677e-14,5.012245346644773e-05,9.708190133151503e-06,1.3081099779943228e-05,5.983064359959923e-05
1223,7.253273613069311e-05,1.2604067272861851e-14,7.253273611808904e-05,5.370446996855429e-18,1.2598696825865649e-14,4.986193080090339e-05,9.657778873883123e-06,1.3013026443306302e-05,5.951970967478652e-05
1224,7.215570582019637e-05,1.2356012113540757e-14,7.215570580784036e-05,5.224398505435943e-18,1.2350787715035963e-14,4.96027671080058e-05,9.607630155132354e-06,1.2945308544705955e-05,5.9210397263138154e-05
1225,7.1780642105254e-05,1.2112862554569244e-14,7.178064209314113e-05,5.082321780514767e-18,1.2107780232789354e-14,4.9344955264861415e-05,9.557742604728353e-06,1.2877944223555096e-05,5.8902697869589766e-05
1226,7.140753468462213e-05,1.1874521251417011e-14,7.140753467274761e-05,4.944108810508941e-18,1.1869577142607114e-14,4.9088488186100426e-05,9.508114857687817e-06,1.281093162896309e-05,5.8596603043788245e-05
1227,7.10363733111808e-05,1.1640892797312168e-14,7.103637329953991e-05,4.809654521193914e-18,1.1636083142791577e-14,4.88333588236791e-05,9.458745556177623e-06,1.2744268919686893e-05,5.8292104379856724e-05
1228,7.066714779165122e-05,1.141188368454299e-14,7.066714778023935e-05,4.6788566958225265e-18,1.1407204827847757e-14,4.8579560166682994e-05,9.409633349477633e-06,1.2677954264082432e-05,5.7989193516160626e-05
1229,7.02998479863148e-05,1.1187402266535146e-14,7.02998479751274e-05,4.5516158974163596e-18,1.118285065063831e-14,4.8327085241131224e-05,9.3607768939437e-06,1.261198584005617e-05,5.7687862135074924e-05
1230,6.99344638087332e-05,1.0967358720688802e-14,6.993446379776584e-05,4.4278353931703485e-18,1.0962930885296203e-14,4.807592710978178e-05,9.312174852970847e-06,1.2546361835016911e-05,5.7388101962752626e-05
1231,6.957098522547023e-05,1.0751665011960291e-14,6.957098521471856e-05,4.307421080913216e-18,1.0747357590879937e-14,4.7826078871937816e-05,9.263825896956635e-06,1.2481080445827779e-05,5.708990476889445e-05
