case,window,t_lo,t_hi,region,x,y,occupancy,rank_in_region
sym_shared,peak1,369,421,top_full,24,14,3.451436252702837e-08,241
sym_shared,peak1,369,421,top_full,33,14,3.430574178498281e-08,242
sym_shared,peak1,369,421,top_full,25,14,3.418881745987203e-08,243
sym_shared,peak1,369,421,top_full,32,14,3.408349218545252e-08,244
sym_shared,peak1,369,421,top_full,26,14,3.400935901222242e-08,245
sym_shared,peak1,369,421,top_full,31,14,3.395956158464495e-08,246
sym_shared,peak1,369,421,top_full,27,14,3.391578400467573e-08,247
sym_shared,peak1,369,421,top_full,30,14,3.389470864796523e-08,248
sym_shared,peak1,369,421,top_full,28,14,3.3874376427204684e-08,249
sym_shared,peak1,369,421,top_full,29,14,3.3868686937074366e-08,250
sym_shared,peak1,369,421,bottom_full,54,4,0.00041272621085455,1
sym_shared,peak1,369,421,bottom_full,54,3,0.0002707149065256205,2
sym_shared,peak1,369,421,bottom_full,53,4,0.00018270163772500568,3
sym_shared,peak1,369,421,bottom_full,54,2,0.00016907752583937926,4
sym_shared,peak1,369,421,bottom_full,53,3,0.00014115105780020053,5
sym_shared,peak1,369,421,bottom_full,54,1,0.00011372646681788383,6
sym_shared,peak1,369,421,bottom_full,53,2,0.00010040539640785871,7
sym_shared,peak1,369,421,bottom_full,54,0,9.026873044355532e-05,8
sym_shared,peak1,369,421,bottom_full,52,4,8.566777698837e-05,9
sym_shared,peak1,369,421,bottom_full,53,1,7.367100028069827e-05,10
sym_shared,peak1,369,421,bottom_full,52,3,7.170780430122887e-05,11
sym_shared,peak1,369,421,bottom_full,53,0,6.11735995620227e-05,12
sym_shared,peak1,369,421,bottom_full,5,4,5.794931603024809e-05,13
sym_shared,peak1,369,421,bottom_full,52,2,5.579722078990978e-05,14
sym_shared,peak1,369,421,bottom_full,52,1,4.398514018119918e-05,15
sym_shared,peak1,369,421,bottom_full,51,4,4.158033683915786e-05,16
sym_shared,peak1,369,421,bottom_full,52,0,3.803012349243889e-05,17
sym_shared,peak1,369,421,bottom_full,5,3,3.639377043835187e-05,18
sym_shared,peak1,369,421,bottom_full,51,3,3.619145656281602e-05,19
sym_shared,peak1,369,421,bottom_full,51,2,2.984380192993674e-05,20
