t,f_any,f_m1_first,f_m2_first,survival
893,0.00015661647331217693,9.441055656623156e-05,6.220591674594538e-05,0.826182979656126
894,0.0001565216529860053,9.43213239518043e-05,6.2200329034201e-05,0.82602645800314
895,0.00015642698966908522,9.423230629879586e-05,6.219468337028937e-05,0.825870031013471
896,0.00015633248308379876,9.414350298701339e-05,6.218898009678537e-05,0.8257136985303872
897,0.00015623813295267098,9.405491339818808e-05,6.218321955448291e-05,0.8255574603974345
898,0.00015614393899837322,9.396653691596922e-05,6.217740208240399e-05,0.8254013164584363
899,0.0001560499009437259,9.387837292591824e-05,6.217152801780767e-05,0.8252452665574925
900,0.0001559560185117018,9.37904208155028e-05,6.216559769619901e-05,0.8250893105389808
901,0.00015586229142542884,9.370267997409082e-05,6.215961145133802e-05,0.8249334482475554
902,0.00015576871940819315,9.361514979294463e-05,6.215356961524851e-05,0.8247776795281473
903,0.00015567530218344193,9.352782966521507e-05,6.214747251822687e-05,0.8246220042259639
904,0.00015558203947478653,9.34407189859356e-05,6.214132048885095e-05,0.824466422186489
905,0.00015548893100600516,9.335381715201642e-05,6.213511385398872e-05,0.8243109332554831
906,0.0001553959765010457,9.326712356223866e-05,6.212885293880704e-05,0.8241555372789822
907,0.00015530317568402885,9.318063761724858e-05,6.212253806678027e-05,0.8240002341032981
908,0.00015521052827925059,9.309435871955162e-05,6.211616955969896e-05,0.823845023575019
909,0.00015511803401118513,9.300828627350675e-05,6.210974773767839e-05,0.8236899055410078
910,0.00015502569260448764,9.292241968532056e-05,6.21032729191671e-05,0.8235348798484033
911,0.00015493350378399705,9.283675836304157e-05,6.209674542095547e-05,0.8233799463446194
912,0.0001548414672747385,9.275130171655439e-05,6.209016555818413e-05,0.8232251048773447
913,0.00015474958280192643,9.266604915757406e-05,6.208353364435239e-05,0.8230703552945429
914,0.00015465785009096685,9.25810000996402e-05,6.207684999132665e-05,0.8229156974444518
915,0.00015456626886746022,9.249615395811144e-05,6.207011490934877e-05,0.8227611311755844
916,0.00015447483885720385,9.241151015015958e-05,6.206332870704428e-05,0.8226066563367271
917,0.00015438355978619474,9.232706809476394e-05,6.20564916914308e-05,0.8224522727769411
918,0.0001542924313806319,9.224282721270573e-05,6.204960416792617e-05,0.8222979803455603
919,0.00015420145336691895,9.21587869265623e-05,6.204266644035665e-05,0.8221437788921935
920,0.00015411062547166676,9.207494666070164e-05,6.20356788109651e-05,0.8219896682667218
921,0.0001540199474216957,9.199130584127657e-05,6.202864158041913e-05,0.8218356483193003
922,0.0001539294189440383,9.190786389621922e-05,6.202155504781909e-05,0.8216817189003562
923,0.00015383903976594164,9.182462025523545e-05,6.20144195107062e-05,0.8215278798605903
924,0.00015374880961486966,9.174157434979915e-05,6.200723526507049e-05,0.8213741310509755
925,0.0001536587282185056,9.165872561314681e-05,6.20000026053588e-05,0.821220472322757
926,0.00015356879530475454,9.157607348027183e-05,6.19927218244827e-05,0.8210669035274523
927,0.00015347901060174538,9.149361738791904e-05,6.198539321382634e-05,0.8209134245168506
928,0.00015338937383783355,9.14113567745792e-05,6.197801706325437e-05,0.8207600351430127
929,0.00015329988474160308,9.132929108048336e-05,6.197059366111973e-05,0.8206067352582711
930,0.00015321054304186886,9.12474197475975e-05,6.196312329427136e-05,0.8204535247152294
931,0.00015312134846767901,9.116574221961696e-05,6.195560624806205e-05,0.8203004033667618
932,0.00015303230074831703,9.108425794196099e-05,6.194804280635606e-05,0.8201473710660134
933,0.00015294339961330404,9.100296636176724e-05,6.194043325153681e-05,0.8199944276664002
934,0.000152854644792401,9.092186692788646e-05,6.193277786451453e-05,0.8198415730216078
935,0.0001527660360156107,9.084095909087691e-05,6.192507692473378e-05,0.8196888069855921
936,0.00015267757301318013,9.0760242302999e-05,6.191733071018115e-05,0.819536129412579
937,0.00015258925551560248,9.067971601820991e-05,6.190953949739257e-05,0.8193835401570635
938,0.0001525010832536192,9.059937969215823e-05,6.190170356146099e-05,0.8192310390738099
939,0.00015241305595822222,9.05192327821785e-05,6.189382317604373e-05,0.8190786260178516
940,0.00015232517336065578,9.043927474728592e-05,6.188589861336985e-05,0.818926300844491
941,0.00015223743519241872,9.035950504817104e-05,6.187793014424768e-05,0.8187740634092987
942,0.00015214984118526627,9.027992314719431e-05,6.186991803807195e-05,0.8186219135681134
943,0.0001520623910712122,9.020052850838094e-05,6.186186256283128e-05,0.8184698511770423
944,0.0001519750845825307,9.012132059741537e-05,6.185376398511532e-05,0.8183178760924598
945,0.00015188792145175828,9.004229888163625e-05,6.184562257012202e-05,0.818165988171008
946,0.00015180090141169589,8.9963462830031e-05,6.183743858166489e-05,0.8180141872695963
947,0.00015171402419541065,8.988481191323061e-05,6.182921228218005e-05,0.817862473245401
948,0.0001516272895362378,8.980634560350435e-05,6.182094393273346e-05,0.8177108459558647
949,0.00015154069716778257,8.972806337475463e-05,6.181263379302793e-05,0.817559305258697
950,0.00015145424682392195,8.964996470251173e-05,6.180428212141021e-05,0.8174078510118731
951,0.00015136793823880665,8.957204906392862e-05,6.179588917487804e-05,0.8172564830736344
952,0.00015128177114686296,8.949431593777583e-05,6.178745520908712e-05,0.8171052013024874
953,0.00015119574528279413,8.941676480443612e-05,6.177898047835801e-05,0.8169540055572047
954,0.00015110986038158268,8.933939514589956e-05,6.177046523568312e-05,0.8168028956968232
955,0.00015102411617849178,8.926220644575821e-05,6.176190973273358e-05,0.8166518715806447
956,0.00015093851240906717,8.918519818920109e-05,6.175331421986609e-05,0.8165009330682357
957,0.0001508530488091387,8.910836986300901e-05,6.174467894612967e-05,0.8163500800194265
958,0.00015076772511482214,8.903172095554955e-05,6.173600415927257e-05,0.8161993122943119
959,0.00015068254106252087,8.895525095677192e-05,6.172729010574894e-05,0.8160486297532492
960,0.00015059749638892748,8.887895935820195e-05,6.171853703072552e-05,0.8158980322568603
961,0.00015051259083102538,8.880284565293695e-05,6.170974517808841e-05,0.8157475196660294
962,0.0001504278241260904,8.872690933564075e-05,6.170091479044964e-05,0.8155970918419033
963,0.0001503431960116926,8.865114990253873e-05,6.169204610915387e-05,0.8154467486458917
964,0.0001502587062256975,8.857556685141265e-05,6.168313937428484e-05,0.815296489939666
965,0.00015017435450626792,8.850015968159581e-05,6.167419482467211e-05,0.8151463155851598
966,0.0001500901405918654,8.842492789396799e-05,6.166521269789741e-05,0.814996225444568
967,0.00015000606422125174,8.834987099095054e-05,6.165619323030122e-05,0.8148462193803467
968,0.00014992212513349057,8.827498847650139e-05,6.164713665698917e-05,0.8146962972552132
969,0.00014983832306794865,8.82002798561101e-05,6.163804321183853e-05,0.8145464589321454
970,0.0001497546577642976,8.812574463679305e-05,6.162891312750454e-05,0.814396704274381
971,0.00014967112896251516,8.805138232708835e-05,6.16197466354268e-05,0.8142470331454186
