t,f_K2,f_K4
3751,0.00011298732213258538,4.410222364361811e-05
3752,0.00011294346385859636,4.406466666010448e-05
3753,0.00011289962250960558,4.402714166102534e-05
3754,0.00011285579808028806,4.398964861856515e-05
3755,0.00011281199056481563,4.395218750267904e-05
3756,0.00011276819995490001,4.391475828985631e-05
3757,0.00011272442624691011,4.387736094987135e-05
3758,0.00011268066943212174,4.383999545877082e-05
3759,0.00011263692950774827,4.380266178728858e-05
3760,0.00011259320646382036,4.376535990901803e-05
3761,0.00011254950029573447,4.372808979463828e-05
3762,0.00011250581099691668,4.3690851421954645e-05
3763,0.00011246213856110108,4.365364475856904e-05
3764,0.00011241848298252197,4.361646978240686e-05
3765,0.0001123748442560595,4.3579326462574283e-05
3766,0.00011233122237285246,4.3542214772914166e-05
3767,0.00011228761732792148,4.350513468749042e-05
3768,0.00011224402911651717,4.34680861804918e-05
3769,0.00011220045773092428,4.343106922173213e-05
3770,0.00011215690316424278,4.3394083787630674e-05
3771,0.00011211336541120087,4.335712984852626e-05
3772,0.00011206984446714733,4.332020738113689e-05
3773,0.00011202634032146955,4.328331635385124e-05
3774,0.00011198285297514749,4.324645674412245e-05
3775,0.00011193938241343497,4.320962852440176e-05
3776,0.00011189592863647705,4.317283166648769e-05
3777,0.00011185249163570144,4.3136066143674314e-05
3778,0.00011180907140497339,4.30993319312557e-05
3779,0.00011176566793798389,4.3062629001869764e-05
3780,0.00011172228122935602,4.302595732665046e-05
3781,0.00011167891127289912,4.298931687902269e-05
3782,0.00011163555806017232,4.295270763773379e-05
3783,0.00011159222158849367,4.291612957095292e-05
3784,0.00011154890184855648,4.287958265374309e-05
3785,0.00011150559883533292,4.2843066857737245e-05
3786,0.0001114623125439266,4.280658216180481e-05
