N,K,beta,window,class,prob,summary_file
260,2,0.01,other,class_C1pJ0,0.3543858907345845,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_N_sweep_beta_selected/cases/N260_K2_beta0.01/N260_K2_beta0.summary.csv
260,2,0.01,other,class_C1pJ1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_N_sweep_beta_selected/cases/N260_K2_beta0.01/N260_K2_beta0.summary.csv
270,2,0.01,other,class_C0J0,0.6362347110923661,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_N_sweep_beta_selected/cases/N270_K2_beta0.01/N270_K2_beta0.summary.csv
270,2,0.01,other,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_N_sweep_beta_selected/cases/N270_K2_beta0.01/N270_K2_beta0.summary.csv
270,2,0.01,other,class_C1pJ0,0.3637652889076339,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_N_sweep_beta_selected/cases/N270_K2_beta0.01/N270_K2_beta0.summary.csv
270,2,0.01,other,class_C1pJ1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_N_sweep_beta_selected/cases/N270_K2_beta0.01/N270_K2_beta0.summary.csv
280,2,0.01,other,class_C0J0,0.6276282125522484,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_N_sweep_beta_selected/cases/N280_K2_beta0.01/N280_K2_beta0.summary.csv
280,2,0.01,other,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_N_sweep_beta_selected/cases/N280_K2_beta0.01/N280_K2_beta0.summary.csv
280,2,0.01,other,class_C1pJ0,0.3723717874477516,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_N_sweep_beta_selected/cases/N280_K2_beta0.01/N280_K2_beta0.summary.csv
280,2,0.01,other,class_C1pJ1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_N_sweep_beta_selected/cases/N280_K2_beta0.01/N280_K2_beta0.summary.csv
290,2,0.01,other,class_C0J0,0.6193749605537205,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_N_sweep_beta_selected/cases/N290_K2_beta0.01/N290_K2_beta0.summary.csv
290,2,0.01,other,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_N_sweep_beta_selected/cases/N290_K2_beta0.01/N290_K2_beta0.summary.csv
