t,f_total,f_shortcut_no,f_shortcut_yes,survival,shortcut_share_inst,shortcut_share_cum
1061,1.641839572754511e-07,6.186401731615396e-08,1.0231993995929714e-07,1.6326889609263438e-05,0.6232030318750034,0.12080741172558297
1062,1.6230755299923713e-07,6.136070421123377e-08,1.0094684878800336e-07,1.6164582056264203e-05,0.6219479434113446,0.12080749306579121
1063,1.6047419095195837e-07,6.089578915501835e-08,9.957840179694e-08,1.600410786531224e-05,0.620525962500419,0.12080757325899172
1064,1.5868304377029924e-07,6.04674229480785e-08,9.821562082222074e-08,1.5845424821541943e-05,0.6189421282112045,0.12080765230575163
1065,1.5693325064875858e-07,6.007374086541613e-08,9.685950978334244e-08,1.5688491570893186e-05,0.6172019593230076,0.120807730207746
1066,1.5522391966350654e-07,5.971286717624329e-08,9.551105248726324e-08,1.553326765122968e-05,0.6153114332785277,0.1208078069677414
1067,1.5355413011998904e-07,5.938291957388073e-08,9.417121054610832e-08,1.537971352110969e-05,0.6132769628047243,0.1208078825895773
1068,1.519229349187475e-07,5.908201350853783e-08,9.284092141020966e-08,1.5227790586190941e-05,0.6111053703633589,0.12080795707814491
1069,1.5032936293391845e-07,5.880826641609566e-08,9.152109651782279e-08,1.5077461223257023e-05,0.6088038606140671,0.12080803043936432
1070,1.48772421398888e-07,5.8559801836375866e-08,9.021261956251213e-08,1.4928688801858134e-05,0.6063799910914566,0.12080810268015914
1071,1.472510982935978e-07,5.8334753414739634e-08,8.891634487885818e-08,1.4781437703564538e-05,0.6038416413137483,0.12080817380842959
1072,1.45764364728038e-07,5.813126878122381e-08,8.76330959468142e-08,1.46356733388365e-05,0.6011969805536279,0.12080824383302369
1073,1.44311177316514e-07,5.7947513301784827e-08,8.636366401472918e-08,1.4491362161519985e-05,0.5984544345120958,0.1208083127637067
1074,1.4289048053734105e-07,5.778167369658578e-08,8.510880684075528e-08,1.4348471680982645e-05,0.5956226511430487,0.12080838061112917
1075,1.415012090727025e-07,5.763196152062731e-08,8.386924755207517e-08,1.4206970471909942e-05,0.5927104658800735,0.12080844738679347
1076,1.40142290123505e-07,5.749661650238993e-08,8.264567362111508e-08,1.4066828181786437e-05,0.5897268665174578,0.12080851310301904
1077,1.3881264569417608e-07,5.7373909736522017e-08,8.143873595765407e-08,1.392801553609226e-05,0.5866809579948151,0.12080857777290639
1078,1.3751119484247645e-07,5.7262146726976734e-08,8.024904811549973e-08,1.3790504341249785e-05,0.5835819273290994,0.12080864141030022
1079,1.362368558895416e-07,5.715967027736911e-08,7.907718561217249e-08,1.3654267485360242e-05,0.5804390089293228,0.1208087040297514
1080,1.349885485855237e-07,5.706486322569415e-08,7.792368535982953e-08,1.3519278936774718e-05,0.5772614505182267,0.12080876564647816
1081,1.3376519622637374e-07,5.6976151020916035e-08,7.678904520545772e-08,1.3385513740548344e-05,0.5740584798717445,0.12080882627632668
1082,1.3256572771748914e-07,5.689200413930803e-08,7.567372357818111e-08,1.3252948012830856e-05,0.5708392725716364,0.12080888593573096
