t,f_total,survival_before,survival_after
897,3.0772962438622939e-13,1.0877664231911928e-11,1.0569934607525699e-11
898,2.9902393907494040e-13,1.0569934607525699e-11,1.0270910668450759e-11
899,2.9056453800388448e-13,1.0270910668450759e-11,9.9803461304468738e-12
900,2.8234445378051093e-13,9.9803461304468738e-12,9.6980016766663620e-12
901,2.7435691612012671e-13,9.6980016766663620e-12,9.4236447605462349e-12
902,2.6659534626970567e-13,9.4236447605462349e-12,9.1570494142765300e-12
903,2.5905335158944942e-13,9.1570494142765300e-12,8.8979960626870810e-12
904,2.5172472028763511e-13,8.8979960626870810e-12,8.6462713423994461e-12
905,2.4460341630441527e-13,8.6462713423994461e-12,8.4016679260950309e-12
906,2.3768357434035461e-13,8.4016679260950309e-12,8.1639843517546765e-12
907,2.3095949502561022e-13,8.1639843517546765e-12,7.9330248567290675e-12
908,2.2442564022577592e-13,7.9330248567290675e-12,7.7085992165032913e-12
909,2.1807662848052385e-13,7.7085992165032913e-12,7.4905225880227666e-12
910,2.1190723057128800e-13,7.4905225880227666e-12,7.2786153574514789e-12
911,2.0591236521433752e-13,7.2786153574514789e-12,7.0727029922371418e-12
912,2.0008709487569325e-13,7.0727029922371418e-12,6.8726158973614497e-12
913,1.9442662170444093e-13,6.8726158973614497e-12,6.6781892756570090e-12
914,1.8892628358109037e-13,6.6781892756570090e-12,6.4892629920759194e-12
915,1.8358155027772786e-13,6.4892629920759194e-12,6.3056814417981911e-12
916,1.7838801972679663e-13,6.3056814417981911e-12,6.1272934220713943e-12
917,1.7334141439543480e-13,6.1272934220713943e-12,5.9539520076759594e-12
918,1.6843757776238324e-13,5.9539520076759594e-12,5.7855144299135770e-12
919,1.6367247089456127e-13,5.7855144299135770e-12,5.6218419590190161e-12
920,1.5904216912049221e-13,5.6218419590190161e-12,5.4627997898985241e-12
921,1.5454285879783690e-13,5.4627997898985241e-12,5.3082569311006873e-12
922,1.5017083417237428e-13,5.3082569311006873e-12,5.1580860969283133e-12
923,1.4592249432584193e-13,5.1580860969283133e-12,5.0121636026024709e-12
924,1.4179434021012139e-13,5.0121636026024709e-12,4.8703692623923497e-12
925,1.3778297176532760e-13,4.8703692623923497e-12,4.7325862906270222e-12
926,1.3388508511942679e-13,4.7325862906270222e-12,4.5987012055075952e-12
927,1.3009746986707788e-13,4.5987012055075952e-12,4.4686037356405181e-12
928,1.2641700642545556e-13,4.4686037356405181e-12,4.3421867292150630e-12
929,1.2284066346487687e-13,4.3421867292150630e-12,4.2193460657501860e-12
930,1.1936549541211584e-13,4.2193460657501860e-12,4.0999805703380698e-12
931,1.1598864002434936e-13,4.0999805703380698e-12,3.9839919303137212e-12
932,1.1270731603173619e-13,3.9839919303137212e-12,3.8712846142819852e-12
933,1.0951882084668761e-13,3.8712846142819852e-12,3.7617657934352976e-12
934,1.0642052833794282e-13,3.7617657934352976e-12,3.6553452650973547e-12
935,1.0340988666761588e-13,3.6553452650973547e-12,3.5519353784297385e-12
936,1.0048441618943263e-13,3.5519353784297385e-12,3.4514509622403064e-12
937,9.7641707406426872e-14,3.4514509622403064e-12,3.3538092548338797e-12
938,9.4879418986412968e-14,3.3538092548338797e-12,3.2589298358474668e-12
939,9.2195275833601145e-14,3.2589298358474668e-12,3.1667345600138662e-12
940,8.9587067214766792e-14,3.1667345600138662e-12,3.0771474927990990e-12
941,8.7052644938430507e-14,3.0771474927990990e-12,2.9900948478606692e-12
942,8.4589921585549227e-14,2.9900948478606692e-12,2.9055049262751200e-12
943,8.2196868790261192e-14,2.9055049262751200e-12,2.8233080574848586e-12
944,7.9871515569268677e-14,2.8233080574848586e-12,2.7434365419155902e-12
945,7.7611946698482752e-14,2.7434365419155902e-12,2.6658245952171075e-12
946,7.5416301135592428e-14,2.6658245952171075e-12,2.5904082940815153e-12
947,7.3282770487259891e-14,2.5904082940815153e-12,2.5171255235942555e-12
948,7.1209597519678501e-14,2.5171255235942555e-12,2.4459159260745769e-12
949,6.9195074711267311e-14,2.4459159260745769e-12,2.3767208513633096e-12
950,6.7237542846309871e-14,2.3767208513633096e-12,2.3094833085169996e-12
951,6.5335389648379160e-14,2.3094833085169996e-12,2.2441479188686209e-12
952,6.3487048452422815e-14,2.2441479188686209e-12,2.1806608704161978e-12
953,6.1690996914415323e-14,2.1806608704161978e-12,2.1189698735017826e-12
954,5.9945755757514097e-14,2.1189698735017826e-12,2.0590241177442683e-12
955,5.8249887553686859e-14,2.0590241177442683e-12,2.0007742301905815e-12
956,5.6601995539806815e-14,2.0007742301905815e-12,1.9441722346507750e-12
957,5.5000722467240732e-14,1.9441722346507750e-12,1.8891715121835345e-12
958,5.3444749483981962e-14,1.8891715121835345e-12,1.8357267626995525e-12
959,5.1932795048408160e-14,1.8357267626995525e-12,1.7837939676511444e-12
960,5.0463613873768724e-14,1.7837939676511444e-12,1.7333303537773756e-12
961,4.9035995902532903e-14,1.7333303537773756e-12,1.6842943578748426e-12
962,4.7648765309753441e-14,1.6842943578748426e-12,1.6366455925650892e-12
963,4.6300779534625255e-14,1.6366455925650892e-12,1.5903448130304641e-12
964,4.4990928339441271e-14,1.5903448130304641e-12,1.5453538846910230e-12
965,4.3718132895170563e-14,1.5453538846910230e-12,1.5016357517958523e-12
966,4.2481344892905345e-14,1.5016357517958523e-12,1.4591544069029470e-12
967,4.1279545680445386e-14,1.4591544069029470e-12,1.4178748612225016e-12
968,4.0111745423308316e-14,1.4178748612225016e-12,1.3777631157991937e-12
969,3.8976982289475010e-14,1.3777631157991937e-12,1.3387861335097187e-12
970,3.7874321657198750e-14,1.3387861335097187e-12,1.3009118118525199e-12
971,3.6802855345225224e-14,1.3009118118525199e-12,1.2641089565072947e-12
972,3.5761700864789841e-14,1.2641089565072947e-12,1.2283472556425048e-12
973,3.4750000692775965e-14,1.2283472556425048e-12,1.1935972549497289e-12
974,3.3766921565435627e-14,1.1935972549497289e-12,1.1598303333842935e-12
975,3.2811653792090836e-14,1.1598303333842935e-12,1.1270186795922026e-12
976,3.1883410588250337e-14,1.1270186795922026e-12,1.0951352690039525e-12
977,3.0981427427592549e-14,1.0951352690039525e-12,1.0641538415763601e-12
978,3.0104961412280869e-14,1.0641538415763601e-12,1.0340488801640791e-12
979,2.9253290661092868e-14,1.0340488801640791e-12,1.0047955895029861e-12
980,2.8425713714859347e-14,1.0047955895029861e-12,9.7636987578812676e-13
981,2.7621548958723414e-14,9.7636987578812676e-13,9.4874832682940344e-13
982,2.6840134060743994e-14,9.4874832682940344e-13,9.2190819276865948e-13
983,2.6080825426381317e-14,9.2190819276865948e-13,8.9582736734227827e-13
984,2.5342997668414889e-14,8.9582736734227827e-13,8.7048436967386324e-13
985,2.4626043091857640e-14,8.7048436967386324e-13,8.4585832658200578e-13
986,2.3929371193441769e-14,8.4585832658200578e-13,8.2192895538856401e-13
987,2.3252408175264273e-14,8.2192895538856401e-13,7.9867654721329982e-13
988,2.2594596472191360e-14,7.9867654721329982e-13,7.7608195074110837e-13
989,2.1955394292632656e-14,7.7608195074110837e-13,7.5412655644847586e-13
990,2.1334275172306958e-14,7.5412655644847586e-13,7.3279228127616883e-13
991,2.0730727540631943e-14,7.3279228127616883e-13,7.1206155373553693e-13
992,2.0144254299380713e-14,7.1206155373553693e-13,6.9191729943615615e-13
993,1.9574372413258225e-14,6.9191729943615615e-13,6.7234292702289797e-13
994,1.9020612512060264e-14,6.7234292702289797e-13,6.5332231451083771e-13
995,1.8482518504087427e-14,6.5332231451083771e-13,6.3483979600675039e-13
996,1.7959647200495563e-14,6.3483979600675039e-13,6.1688014880625476e-13
997,1.7451567950273455e-14,6.1688014880625476e-13,5.9942858085598131e-13
998,1.6957862285546892e-14,5.9942858085598131e-13,5.8247071857043451e-13
999,1.6478123576917207e-14,5.8247071857043451e-13,5.6599259499351739e-13
1000,1.6011956698550219e-14,5.6599259499351739e-13,5.4998063829496723e-13
1001,1.5558977702739890e-14,5.4998063829496723e-13,5.3442166059222728e-13
1002,1.5118813503678536e-14,5.3442166059222728e-13,5.1930284708854876e-13
1003,1.4691101570173241e-14,5.1930284708854876e-13,5.0461174551837554e-13
1004,1.4275489627055308e-14,5.0461174551837554e-13,4.9033625589132024e-13
1005,1.3871635365036862e-14,4.9033625589132024e-13,4.7646462052628334e-13
1006,1.3479206158775618e-14,4.7646462052628334e-13,4.6298541436750786e-13
1007,1.3097878792915613e-14,4.6298541436750786e-13,4.4988753557459218e-13
1008,1.2727339195878259e-14,4.4988753557459218e-13,4.3716019637871389e-13
1009,1.2367282181184459e-14,4.3716019637871389e-13,4.2479291419752953e-13
1010,1.2017411196094723e-14,4.2479291419752953e-13,4.1277550300143476e-13
1011,1.1677438077360291e-14,4.1277550300143476e-13,4.0109806492407446e-13
1012,1.1347082813884032e-14,4.0109806492407446e-13,3.8975098211019048e-13
1013,1.1026073316095719e-14,3.8975098211019048e-13,3.7872490879409478e-13
1014,1.0714145191851642e-14,3.7872490879409478e-13,3.6801076360224311e-13
1015,1.0411041528674084e-14,3.6801076360224311e-13,3.5759972207356909e-13
1016,1.0116512682151192e-14,3.5759972207356909e-13,3.4748320939141788e-13
1017,9.8303160703230929e-15,3.4748320939141788e-13,3.3765289332109487e-13
