N,beta,site,p_full,p_peak1,p_peak2,p_peak3,p_other,p_yes,p_no
61,0.04,36,0.00264410938241819,0.0003027722941904071,0.0022064686068279287,0.0,0.00013486848139985432,8.064507431294097e-05,0.0025634643081052467
61,0.04,37,0.0025779339204177955,0.0001941050494036291,0.0022632675918577818,0.0,0.00012056127915638473,8.260164198783598e-05,0.002495332278429961
61,0.04,38,0.002533757685625085,0.00013683998810907797,0.002282070755228145,0.0,0.00011484694228786215,8.628902540935127e-05,0.0024474686602157297
61,0.04,39,0.0024868480850582376,0.00011150124145889216,0.002262473082096843,0.0,0.00011287376150250282,9.21997785983855e-05,0.0023946483064598545
61,0.04,40,0.0024268735753184257,0.00010785756297371805,0.00220612208861544,0.0,0.00011289392372926715,0.00010099860759146432,0.002325874967726956
61,0.04,41,0.002354560973704729,0.00012330002452668511,0.0021168472242078396,0.0,0.0001144137249702043,0.00011488689314822111,0.0022396740805565095
61,0.04,42,0.002301873584526628,0.0001777221886428426,0.00200483680401058,0.0,0.00011931459187320517,0.00016040750589775112,0.002141466078628878
61,0.04,43,0.002218761749411101,0.00023509883177703792,0.0018623369010475612,0.0,0.00012132601658650156,0.00017647751683421458,0.0020422842325768854
61,0.04,44,0.002158981341087441,0.0003291965421986839,0.0017052989346162792,0.0,0.00012448586427247837,0.00020069658499014667,0.001958284756097294
61,0.04,45,0.002137600222212914,0.00047056139044413095,0.0015390592741321614,0.0,0.0001279795576366214,0.00022701408214633804,0.0019105861400665752
61,0.04,46,0.002178896771973137,0.0006774380056849462,0.0013698563573520683,0.0,0.0001316024089361224,0.00025391380954708896,0.0019249829624260527
61,0.04,47,0.0023109050105454497,0.0009724199378879079,0.0012032871699045903,0.0,0.00013519790275295153,0.0002798444275992338,0.002031060582946222
61,0.04,48,0.002563539271811678,0.0013808553507720885,0.0010440365112376485,0.0,0.0001386474098019411,0.0003032734448888104,0.00226026582692286
61,0.04,49,0.0029655331421083223,0.0019279095333006833,0.0008957483596797068,0.0,0.00014187524912793228,0.00032289622270631794,0.0026426369194020075
61,0.04,50,0.003540113389907209,0.00263424110619513,0.0007610131745902714,0.0,0.00014485910912180797,0.0003379114055697194,0.003202201984337488
61,0.04,51,0.00429976400721111,0.0035106805336708926,0.0006414420471615091,0.0,0.00014764142637870836,0.0003482696711124453,0.003951494336098683
61,0.04,52,0.0052408009031872935,0.004552684283275218,0.0005377820120482512,0.0,0.00015033460786382426,0.00035469796467121,0.004886102938516082
61,0.04,53,0.006338784970037761,0.005735653372057723,0.0004500208284696434,0.0,0.00015311076951039532,0.0003582665629359099,0.0059805184071018555
61,0.04,54,0.007546153913684949,0.007012519769755454,0.0003774591709541617,0.0,0.00015617497297533254,0.00035956882842834057,0.007186585085256613
61,0.04,55,0.008793651665875332,0.008315126164397326,0.00031878679351742787,0.0,0.00015973870796057697,0.00035812022965325303,0.008435531436222077
61,0.04,56,0.009996444462609364,0.009560204211617187,0.0002722259520268384,0.0,0.00016401429896533866,0.0003525920317188261,0.00964385243089054
