scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,lo,hi,observable,exit_prob,mean_event_time,mean_hit_time,event_time_ratio,early_mass,late_mass,no_exit_mass
width_bx,width_h1_bx_p0p04,1,0.04,1.0,0.55,0.002,0.002,early,10,60,tau_mem,6.329449204217333e-06,48.15028134548293,59.55864314152121,0.8084516168555063,5.520673323245814e-07,5.7773818718927515e-06,0.9999936705507958
width_bx,width_h1_bx_p0p04,1,0.04,1.0,0.55,0.002,0.002,middle,120,200,tau_out,0.5043519492534828,159.87863521336146,176.2507805279791,0.9071088067492636,0.004947262854596813,0.499404686398886,0.4956480507465172
width_bx,width_h1_bx_p0p04,1,0.04,1.0,0.55,0.002,0.002,middle,120,200,tau_mem,0.0015380727408428815,131.70168318757916,176.2507805279791,0.747240283379466,0.00016311185905608545,0.001374960881786796,0.9984619272591572
width_bx,width_h1_bx_p0p04,1,0.04,1.0,0.55,0.002,0.002,late,260,360,tau_out,0.8963849735928772,213.8848442534062,301.77530902414145,0.7087552820177737,0.0747137250407181,0.8216712485521591,0.10361502640712283
width_bx,width_h1_bx_p0p04,1,0.04,1.0,0.55,0.002,0.002,late,260,360,tau_mem,0.014828659391325825,153.60571981726292,301.77530902414145,0.5090069174777144,0.006559742465883329,0.008268916925442496,0.9851713406086742
width_bx,width_h1_bx_p0p08,1,0.08,1.0,0.55,0.002,0.002,early,10,60,tau_out,0.005364748957593818,55.35278136935983,59.554843657682106,0.9294421405507252,5.862102022177683e-07,0.0053641627473916004,0.9946352510424061
width_bx,width_h1_bx_p0p08,1,0.08,1.0,0.55,0.002,0.002,early,10,60,tau_mem,7.09834238549024e-06,48.259114623707774,59.554843657682106,0.8103306407972196,5.862102022177683e-07,6.512132183272472e-06,0.9999929016576146
width_bx,width_h1_bx_p0p08,1,0.08,1.0,0.55,0.002,0.002,middle,120,200,tau_out,0.5452629243728223,153.63542432628026,170.84326761990474,0.8992770184429578,0.004348757149207729,0.5409141672236146,0.4547370756271777
width_bx,width_h1_bx_p0p08,1,0.08,1.0,0.55,0.002,0.002,middle,120,200,tau_mem,0.0022719686044847076,124.52543814216543,170.84326761990474,0.7288870078229358,0.00024708139251020675,0.002024887211974501,0.9977280313955152
width_bx,width_h1_bx_p0p08,1,0.08,1.0,0.55,0.002,0.002,late,260,360,tau_out,0.9732503404784669,184.39555714252336,303.12955033448134,0.6083061085237527,0.18643508027216452,0.7868152602063024,0.026749659521533076
width_bx,width_h1_bx_p0p08,1,0.08,1.0,0.55,0.002,0.002,late,260,360,tau_mem,0.03356204271882982,123.41986775715682,303.12955033448134,0.4071522146916129,0.023772229307066385,0.009789813411763437,0.9664379572811702
