t,f_total,f_shortcut_no,f_shortcut_yes,survival
543,1.0539098148276407e-11,9.044902112967773e-12,1.4941960353086337e-12,0.8185893842510308
544,1.0539098148140719e-11,9.044902112787368e-12,1.4941960353533512e-12,0.8185893842404917
545,1.0539098148005035e-11,9.044902112606967e-12,1.4941960353980682e-12,0.8185893842299529
546,1.0539098147869349e-11,9.044902112426563e-12,1.4941960354427856e-12,0.8185893842194137
547,1.053909814773366e-11,9.044902112246158e-12,1.4941960354875029e-12,0.8185893842088747
548,1.0539098147597977e-11,9.044902112065757e-12,1.4941960355322205e-12,0.8185893841983359
549,1.0539098147462292e-11,9.044902111885354e-12,1.4941960355769377e-12,0.8185893841877967
550,1.0539098147326605e-11,9.04490211170495e-12,1.4941960356216552e-12,0.8185893841772577
551,1.0539098147190918e-11,9.044902111524546e-12,1.4941960356663722e-12,0.8185893841667188
552,1.0539098147055233e-11,9.044902111344144e-12,1.4941960357110896e-12,0.8185893841561798
553,1.0539098146919548e-11,9.04490211116374e-12,1.4941960357558068e-12,0.8185893841456409
554,1.0539098146783862e-11,9.044902110983338e-12,1.494196035800524e-12,0.818589384135102
555,1.0539098146648173e-11,9.044902110802932e-12,1.4941960358452415e-12,0.8185893841245628
556,1.0539098146512491e-11,9.044902110622532e-12,1.494196035889959e-12,0.818589384114024
557,1.0539098146376803e-11,9.044902110442127e-12,1.4941960359346762e-12,0.818589384103485
558,1.0539098146241118e-11,9.044902110261724e-12,1.4941960359793934e-12,0.8185893840929462
559,1.0539098146105433e-11,9.044902110081321e-12,1.4941960360241108e-12,0.818589384082407
560,1.0539098145969745e-11,9.044902109900917e-12,1.494196036068828e-12,0.8185893840718681
561,1.053909814583406e-11,9.044902109720514e-12,1.4941960361135453e-12,0.8185893840613293
562,1.0539098145698374e-11,9.044902109540111e-12,1.4941960361582625e-12,0.8185893840507901
563,1.0539098145562686e-11,9.044902109359707e-12,1.49419603620298e-12,0.8185893840402513
564,1.0539098145427003e-11,9.044902109179305e-12,1.4941960362476972e-12,0.818589384029712
565,1.0539098145291316e-11,9.0449021089989e-12,1.4941960362924146e-12,0.8185893840191732
566,1.053909814515563e-11,9.044902108818498e-12,1.4941960363371319e-12,0.8185893840086342
567,1.0539098145019944e-11,9.044902108638095e-12,1.4941960363818493e-12,0.8185893839980953
568,1.0539098144884259e-11,9.044902108457692e-12,1.4941960364265667e-12,0.8185893839875562
569,1.0539098144748569e-11,9.044902108277286e-12,1.494196036471284e-12,0.8185893839770173
570,1.0539098144612884e-11,9.044902108096883e-12,1.494196036516001e-12,0.8185893839664785
571,1.0539098144477202e-11,9.044902107916483e-12,1.4941960365607186e-12,0.8185893839559393
572,1.0539098144341512e-11,9.044902107736077e-12,1.4941960366054356e-12,0.8185893839454004
573,1.0539098144205826e-11,9.044902107555672e-12,1.4941960366501533e-12,0.8185893839348614
574,1.0539098144070142e-11,9.044902107375271e-12,1.4941960366948705e-12,0.8185893839243223
575,1.0539098143934454e-11,9.044902107194867e-12,1.494196036739588e-12,0.8185893839137832
576,1.0539098143798769e-11,9.044902107014464e-12,1.494196036784305e-12,0.8185893839032444
577,1.0539098143663085e-11,9.044902106834062e-12,1.4941960368290224e-12,0.8185893838927053
578,1.0539098143527395e-11,9.044902106653656e-12,1.4941960368737396e-12,0.8185893838821664
579,1.0539098143391712e-11,9.044902106473255e-12,1.4941960369184569e-12,0.8185893838716275
580,1.0539098143256025e-11,9.04490210629285e-12,1.4941960369631743e-12,0.8185893838610885
581,1.0539098143120338e-11,9.044902106112447e-12,1.4941960370078913e-12,0.8185893838505495
582,1.0539098142984653e-11,9.044902105932045e-12,1.494196037052609e-12,0.8185893838400105
583,1.0539098142848968e-11,9.044902105751642e-12,1.494196037097326e-12,0.8185893838294716
584,1.053909814271328e-11,9.044902105571237e-12,1.4941960371420436e-12,0.8185893838189323
585,1.0539098142577593e-11,9.044902105390833e-12,1.4941960371867608e-12,0.8185893838083933
586,1.0539098142441908e-11,9.04490210521043e-12,1.4941960372314783e-12,0.8185893837978545
587,1.0539098142306223e-11,9.044902105030027e-12,1.4941960372761955e-12,0.8185893837873154
588,1.0539098142170536e-11,9.044902104849624e-12,1.4941960373209127e-12,0.8185893837767767
589,1.0539098142034851e-11,9.044902104669221e-12,1.49419603736563e-12,0.8185893837662375
590,1.0539098141899163e-11,9.044902104488816e-12,1.4941960374103472e-12,0.8185893837556985
591,1.0539098141763476e-11,9.044902104308412e-12,1.4941960374550644e-12,0.8185893837451593
592,1.0539098141627793e-11,9.04490210412801e-12,1.494196037499782e-12,0.8185893837346205
593,1.0539098141492106e-11,9.044902103947606e-12,1.4941960375444993e-12,0.8185893837240814
594,1.053909814135642e-11,9.044902103767203e-12,1.4941960375892167e-12,0.8185893837135424
595,1.0539098141220734e-11,9.0449021035868e-12,1.494196037633934e-12,0.8185893837030035
596,1.0539098141085046e-11,9.044902103406396e-12,1.494196037678651e-12,0.8185893836924646
597,1.0539098140949361e-11,9.044902103225993e-12,1.4941960377233684e-12,0.8185893836819259
598,1.0539098140813677e-11,9.044902103045591e-12,1.4941960377680857e-12,0.8185893836713866
599,1.0539098140677989e-11,9.044902102865187e-12,1.494196037812803e-12,0.8185893836608477
600,1.0539098140542304e-11,9.044902102684784e-12,1.4941960378575203e-12,0.8185893836503086
601,1.0539098140406617e-11,9.04490210250438e-12,1.4941960379022377e-12,0.8185893836397699
602,1.0539098140270932e-11,9.044902102323976e-12,1.494196037946955e-12,0.8185893836292307
603,1.0539098140135244e-11,9.044902102143572e-12,1.4941960379916724e-12,0.8185893836186918
604,1.053909813999956e-11,9.04490210196317e-12,1.4941960380363896e-12,0.8185893836081529
605,1.0539098139863874e-11,9.044902101782766e-12,1.494196038081107e-12,0.818589383597614
606,1.0539098139728187e-11,9.044902101602363e-12,1.494196038125824e-12,0.8185893835870751
